pdf_filename,page_1_type,page_2_type,page_3_type,detected_platform,platform_confidence,true_article_start_page,page_count,extracted_status
michigan_law_review_law_enforcement_privilege.pdf,article_body,article_body,article_body,heinonline,1.00,1,59,success
harvard-law-review_codify-gardner.pdf,article_body,article_body,article_body,unknown,0.00,1,22,success
texas_hershkoff_beleaguered_sovereign.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,51,success
nyu_first_black_jurors.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,63,success
nyu_labor_mobility_policing.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,74,success
harvard_law_review_Background_Principles_And_The_General_Law_Of_Property.pdf,article_body,article_body,article_body,proquest,0.60,1,22,success
nyu_generative_interpretation.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,64,success
texas_fan_big_data_searches.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,60,success
duke_law_journal_discretionary_immigration_detention.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,91,success
columbia_layered_constitutionalism.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,68,success
yale_law_journal___.pdf,article_titlepage,article_titlepage,unknown,unknown,0.00,1,99,success
boston_college_law_review_Untitled.pdf,article_titlepage,article_body,article_body,proquest,0.60,1,20,success
california_law_review_Lovings_Borders.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,20,success
georgetown_heydari_sheriffs_constitution.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.60,1,66,success
duke_law_journal_slowing_the_burn.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,38,success
harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
minnesota_law_review_Water_Flowing_Down_Wall_Street.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,90,success
columbia_new_outlawry.pdf,article_body,article_body,article_body,unknown,0.00,1,74,success
boston_university_law_review_Volume_105__Issue_4.pdf,unknown,,,unknown,0.00,,0,failed
duke_law_journal_illegal_corporate_cultures.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,59,success
harvard_law_review_Unwarranted_Warrants_An_Empirical_Analysis_Of_Judicial_Review_In_Search_And_Seizure.pdf,article_titlepage,article_body,article_titlepage,heinonline,0.60,1,89,success
yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism.pdf,article_body,article_body,article_body,unknown,0.00,1,113,success
fordham_law_review_Emotionally_Unstable___Addressing_Emotional_Distre.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,41,success
minnesota_law_review_____The_Four_Horsemen_of_the_New_Separation_of_Pow.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,109,success
harvard-law-review_equal-protection-protect.pdf,article_body,article_body,article_body,proquest,0.60,1,8,success
georgetown_kagan_asylum_procedures.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,40,success
columbia_law_review_the_sankofa_principle_in_protest_law.pdf,article_body,article_body,article_body,proquest,0.60,1,20,success
columbia_law_review_overbroad_protest_laws.pdf,article_body,article_body,article_body,proquest,0.60,1,80,success
harvard_law_review_Making_Equal_Protection_Protect.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
georgetown_law_journal_selective_enforcement.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,58,success
stanford-law-review_general-law-fourteenth-amendment.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,69,success
ucla_social_movements_in_american_legal_theory.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,106,success
columbia_sankofa_principle_protest_law.pdf,article_body,article_body,article_body,proquest,0.60,1,20,success
columbia_law_review_policing_campus_protest.pdf,article_body,article_body,article_titlepage,unknown,0.00,3,98,success
texas_ferguson_video_analytics.pdf,article_body,article_body,article_body,unknown,0.00,1,67,success
virginia_law_review_The_Association_Game__Applying_Noscitur_a_Sociis_a.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,41,success
ucla_third_party_security_measures_and_cybersecurity.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,47,success
upenn_terms_of_service_fourth_amendment.pdf,article_body,article_body,article_body,publisher_direct,0.60,1,42,success
harvard_law_review_Excited_Delirium_Policing_And_The_Law_Of_Evidence.pdf,article_titlepage,article_body,article_body,heinonline,0.80,1,56,success
upenn_failure_to_appear.pdf,article_titlepage,article_titlepage,article_body,publisher_direct,0.60,1,60,success
stanford-law-review_governing-company-town.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,93,success
virginia_law_review_constraining_legislative_expulsion.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,42,success
minnesota_law_review_Filling_the_Sackett_Gap_The_Private_Governance_Option.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,88,success
harvard_law_review_The_Law_And_Lawlessness_Of_U_S_Immigration_Detention.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,74,success
columbia_two_cheers_evidence.pdf,article_body,article_titlepage,article_body,heinonline,0.20,2,40,success
columbia_afrofuturism_protest.pdf,article_body,article_body,article_body,unknown,0.00,1,92,success
virginia_law_review_consent_and_compensation_resolving_generative_ais_copyright_crisis.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,41,success
georgetown_law_journal_a_faster_way_to_yes.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,40,success
stanford_law_review_After_Notice_and_Choice__Reinvigorating__Unfairnes.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,87,success
texas_bracha_syed_ip_political_economy.pdf,article_body,article_body,article_body,unknown,0.00,1,27,success
stanford_law_review_After_Notice_and_Choice_Reinvigorating_Unfairness_to_Rein_In_Data_Abuses.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,87,success
michigan_law_review_revocation_at_the_founding.pdf,article_body,article_body,article_body,heinonline,1.00,1,62,success
fordham_law_review_The_Presumption_Against_Extraterritoriality_and_Wi.pdf,article_body,article_body,article_body,unknown,0.00,1,40,success
georgetown_capers_afrofuturism_manifesto.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,23,success
michigan_law_review_of_might_and_men.pdf,article_body,article_body,article_body,heinonline,1.00,1,5,success
ucla_first_amendment_protections_for_detained_organizers.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,46,success
texas_braver_somin_exclusionary_zoning.pdf,article_body,article_body,article_body,heinonline,0.20,1,64,success
columbia_forcings.pdf,article_body,article_body,article_body,unknown,0.00,1,76,success
fordham_law_review_Law-Following_AI___Designing_AI_Agents_to_Obey_Hum.pdf,article_body,article_body,article_body,unknown,0.00,1,73,success
michigan_law_review_consumerist_waste_looking_beyond_repair.pdf,article_body,article_body,article_body,heinonline,1.00,1,8,success
stanford_law_review_Stranger_in_the_Land_of_Federalism.pdf,article_body,article_body,article_titlepage,heinonline,0.60,3,46,success
stanford_law_review_Municipalities_and_the_Banking_Franchise.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,61,success
michigan_law_review_original_public_meaning_and_pregnancys_ambiguities.pdf,article_body,article_body,article_body,heinonline,1.00,1,16,success
california_law_review_Social_Justice_Conflicts_in_Public_Law.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,1.00,1,74,success
virginia_law_review_Free_Speech_as_White_Privilege__Racialization__Sup.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,22,success
michigan_law_review_on_the_genealogy_of_intimate_digital_harm.pdf,article_body,unknown,article_body,heinonline,1.00,1,5,success
columbia_law_review_private_prison_healthcare_as_public_accommodation_leveraging_federal_and_state_p.pdf,article_body,article_body,article_body,unknown,0.00,1,46,success
michigan_law_review_beyond_profit_motives.pdf,article_body,unknown,article_body,heinonline,1.00,1,5,success
virginia_law_review_adapting_conservation_governance_under_climate_change_lessons_from_indian_country.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,70,success
stanford_law_review_Lost_Profits_Damages_for_Multicomponent_Products.pdf,article_body,article_body,article_body,heinonline,0.80,1,37,success
harvard_law_review_____Articles__.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
minnesota_law_review_The_Bogeyman_of_Environmental_Regulation_Federalism_Agency_Preemption_and_the_Roberts_Court.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,54,success
fordham_law_review_Is_Your_Data_Good__Bad__or_Neutral____Redefining_C.pdf,article_body,article_body,article_body,unknown,0.00,1,38,success
georgetown_layser_renters_tax_credits.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,58,success
fordham_law_review_Article_III_Standing_in_Federal_Prosecutions_of__V.pdf,article_titlepage,article_body,article_titlepage,heinonline,0.20,1,10,success
georgetown_kim_taxing_metaverse.pdf,article_body,article_body,article_titlepage,publisher_direct,0.60,3,53,success
columbia_law_review_a_right_of_peaceable_assembly.pdf,article_body,article_body,article_body,unknown,0.00,1,90,success
texas_fallon_selective_originalism.pdf,article_body,article_body,article_body,heinonline,0.20,1,84,success
duke_reparations_for_project_one_hundred_thousand.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,70,success
harvard-law-review_forgotten-history-prison-law.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,54,success
georgetown_hall_areheart_bias_presumption.pdf,article_body,article_body,article_body,proquest,0.60,1,37,success
stanford_law_review_Abandoning_Deportation_Adjudication.pdf,article_body,article_body,article_body,heinonline,0.60,1,72,success
minnesota_law_review_The_Four_Horsemen_of_the_New_Separation_of_Powers_The_Environmental_Law_Implications_ofWest_Virginia.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,109,success
california_law_review_Crafting_a_New_Conservationism.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,81,success
stanford-law-review_great-writ-popular-sovereignty.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,71,success
california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,1.00,1,64,success
ucla_ai_gender_recognition_technology_and_surveillance.pdf,article_titlepage,article_body,unknown,heinonline,0.60,1,94,success
ucla_the_unequal_pretrial_detention.pdf,article_body,article_titlepage,article_titlepage,unknown,0.00,2,61,success
fordham_law_review_Fixing_the_Fix___The_Case_for_Unifying_the_Remedia.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,36,success
texas_pfander_judicial_review.pdf,article_titlepage,article_titlepage,article_titlepage,unknown,0.00,1,39,success
harvard_law_review_Waste_Property_And_Useless_Things.pdf,article_body,article_titlepage,article_body,heinonline,0.20,2,57,success
minnesota_law_review_____The_Bogeyman_of_Environmental_Regulation__Fede.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,54,success
harvard-law-review_excited-delirium-policing.pdf,article_titlepage,article_body,article_body,heinonline,0.80,1,56,success
harvard_law_review_How_To_Get_Free_In_A_Time_Of_Retrenchment.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,51,success
michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking.pdf,article_body,article_body,article_body,heinonline,1.00,1,29,success
texas_farber_workarounds.pdf,article_body,article_titlepage,article_body,heinonline,0.20,2,62,success
harvard_law_review_Appendix_for_Codify_Gardner.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
columbia_overbroad_protest_laws.pdf,article_body,article_body,article_body,proquest,0.60,1,80,success
virginia_law_review_frictionless_government_and_foreign_relations.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,85,success
virginia_law_review_Deterring_Unenforceable_Terms.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,63,success
duke_burdens_of_proof_in_criminal_procedure.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.40,1,72,success
california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,1.00,1,81,success
california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab.pdf,article_titlepage,article_titlepage,article_body,publisher_direct,1.00,1,25,success
duke_illegal_corporate_cultures.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,59,success
georgetown_law_journal_renters_tax_credits.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,58,success
michigan_law_review_the_shadow_of_the_law_of_the_police.pdf,article_body,article_body,article_body,heinonline,1.00,1,4,success
nyu_intellectual_property_labor.pdf,article_titlepage,article_titlepage,article_body,publisher_direct,0.80,1,61,success
nyu_legislative_statutory_interpretation.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.80,1,95,success
minnesota_law_review_____The_Impact_of_Loper_Bright_v__Raimondo__An_Emp.pdf,article_body,article_body,article_titlepage,publisher_direct,0.60,3,78,success
virginia_law_review_Fourth_Amendment_Trespass_and_Internet_Search_Hist.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,27,success
harvard-law-review_background-principles-property.pdf,article_body,article_body,article_body,proquest,0.60,1,22,success
georgetown_kwoka_information_commission.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,53,success
cornell_legitimate_interpretation.pdf,article_body,article_body,article_body,heinonline,1.00,1,70,success
ucla_police_reform_and_black_lives_matter.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,56,success
harvard-law-review_immigration-detention.pdf,article_body,article_body,article_titlepage,heinonline,0.20,3,74,success
harvard_law_review_Fighting_Words_At_The_Founding.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
georgetown_takhshid_data_likeness.pdf,article_titlepage,article_titlepage,article_body,publisher_direct,0.60,1,44,success
duke_law_journal_burdens_of_proof.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.40,1,72,success
virginia_law_review_criminal_violations.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,79,success
upenn_ninos_paradox.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,36,success
georgetown_garcia_selective_enforcement.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,58,success
stanford-law-review_uncommon-carriage.pdf,article_titlepage,article_body,article_body,heinonline,1.00,1,71,success
upenn_false_analogies_predatory_pricing.pdf,article_titlepage,article_body,article_body,proquest,0.60,1,70,success
harvard_law_review__Background_Principles__and_the_General_Law_of_Pro.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
duke_journal_staff.pdf,article_body,,,unknown,0.00,1,1,success
virginia_law_review_editing_classic_books_a_threat_to_the_public_domain.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,19,success
minnesota_law_review_____Water_Flowing_Down_Wall_Street_____.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,90,success
michigan_law_review_orders_without_law.pdf,article_body,article_body,article_body,heinonline,1.00,1,18,success
cornell_frand_antitrust.pdf,article_body,article_body,article_body,heinonline,1.00,1,63,success
nyu_small_agency_policing.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,78,success
columbia_constitutionalism_of_force.pdf,article_body,article_body,article_titlepage,unknown,0.00,3,88,success
duke_slowing_the_burn_incentivizing_safer_development_through_wildfire_hazard_mapping.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,38,success
harvard_law_review_Appendix_for_Unwarranted_Warrants__An_Empirical_An.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
columbia_policing_campus_protest.pdf,article_body,article_body,article_titlepage,unknown,0.00,3,98,success
columbia_monells_untapped_potential.pdf,article_body,article_body,article_body,unknown,0.00,1,92,success
fordham_law_review_Venturing_into_Health___Fordham_Law_Review.pdf,article_body,article_body,article_body,unknown,0.00,1,49,success
virginia_law_review_standing_shoulder_pad_to_shoulder_pad_collective_bargaining_in_college_athletics.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,30,success
yale_law_journal_Antiracist_Expert_Evidence.pdf,article_titlepage,article_titlepage,unknown,unknown,0.00,1,99,success
michigan_law_review_wrongs_to_us.pdf,article_body,article_body,article_titlepage,heinonline,1.00,3,5,success
columbia_distinguishing_privacy_law.pdf,article_body,article_body,article_body,heinonline,0.20,1,56,success
columbia_law_review_the_right_to_protest_in_indian_country.pdf,article_body,article_body,article_body,unknown,0.00,1,58,success
stanford-law-review_private-equity-health-care.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,70,success
fordham_law_review_When_the_Screen_Lies___Navigating_Privacy_and_Publ.pdf,article_titlepage,article_body,article_titlepage,heinonline,0.20,1,45,success
california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,23,success
michigan_law_review_what_is_a_prison.pdf,article_body,article_body,article_body,heinonline,1.00,1,26,success
iowa_law_review_______________Iowa_Law_Review____________.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,32,success
fordham_law_review_The_Roberts_Court_Paradox___Fordham_Law_Review.pdf,article_body,article_body,article_body,heinonline,0.20,1,55,success
upenn_cbdc_public_money.pdf,article_body,article_body,article_body,heinonline,0.20,1,68,success
harvard-law-review_waste-property-useless-things.pdf,article_body,article_body,article_body,heinonline,0.20,1,10,success
michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law.pdf,article_body,article_body,article_body,heinonline,1.00,1,33,success
virginia_law_review_Free_Speech__Breathing_Space__and_Liability_Insura.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,59,success
cornell_corporate_privacy_proxy.pdf,article_body,article_body,article_body,heinonline,1.00,1,40,success
virginia_law_review_medicaid_act_protections_for_gender_affirming_care.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,1.00,1,27,success
harvard-law-review_unwarranted-warrants.pdf,article_titlepage,article_body,article_titlepage,heinonline,0.60,1,89,success
columbia_law_review_law_of_protest.pdf,article_body,article_body,article_body,heinonline,0.20,1,12,success
harvard-law-review_fighting-words-founding.pdf,article_body,article_body,article_body,heinonline,0.20,1,10,success
harvard-law-review_pragmatism-textualism.pdf,article_body,article_body,article_body,unknown,0.00,1,57,success
stanford-law-review_invisible-driver-policing.pdf,article_body,article_body,article_body,heinonline,0.60,1,88,success
texas_zick_second_amendment.pdf,article_titlepage,article_body,article_body,heinonline,0.20,1,58,success
cornell_chevron_construction.pdf,article_body,article_body,article_body,heinonline,1.00,1,24,success
ucla_pretrial_risk_assessment_and_bail_reform.pdf,article_body,article_titlepage,article_body,unknown,0.00,2,78,success
boston_college_law_review_Boston_College_Law_Review.pdf,article_titlepage,article_body,article_body,proquest,0.60,1,24,success
upenn_private_enforcement.pdf,article_body,article_body,article_body,unknown,0.00,1,90,success
virginia_law_review_the_founders_purse.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,76,success
fordham_law_review_Are_Your_Secrets_Safe____Imposing_a_Fiduciary_Duty.pdf,article_body,article_body,article_body,heinonline,0.20,1,38,success
nyu_second_look_resentencing.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.80,1,61,success
stanford-law-review_war-reparations-countermeasures.pdf,article_body,article_body,article_body,heinonline,0.60,1,80,success
cornell_against_prosecutors.pdf,article_body,article_body,article_body,heinonline,1.00,1,50,success
upenn_conflicts_of_law_abortion.pdf,article_body,article_titlepage,article_body,heinonline,0.20,2,120,success
ucla_the_freedom_of_speech_and_bad_purposes.pdf,article_titlepage,article_body,article_body,unknown,0.00,1,56,success
harvard_law_review_Codify_Gardner.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
virginia_law_review_Neo-Brandeis_Goes_to_Washington__A_Provisional_Ass.pdf,article_titlepage,article_titlepage,article_titlepage,publisher_direct,0.80,1,39,success
yale_law_journal_The_Prison_Discovery_Crisis.pdf,article_body,institutional_access,article_body,unknown,0.00,1,97,success
ucla_unexceptional_protest.pdf,article_body,article_titlepage,article_titlepage,unknown,0.00,2,57,success
upenn_corporate_tokenism.pdf,article_body,article_body,article_body,heinonline,0.80,1,38,success
michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources.pdf,article_body,article_body,article_body,heinonline,1.00,1,69,success
duke_reforming_h_2a_protecting_migrant_workers_before_arrival_on_us_farms.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,38,success
harvard_law_review_CompassCare_v__Hochul.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
harvard_law_review_Lara_v__Commissioner_Pennsylvania_State_Police.pdf,article_body,article_body,article_body,heinonline,0.80,1,3,success
cornell_antitrust_workers.pdf,article_body,article_body,article_body,heinonline,1.00,1,53,success
duke_law_journal_transnational_corporate_law.pdf,article_titlepage,article_body,article_body,heinonline,0.80,1,60,success
nyu_american_law_global_conflict.pdf,article_titlepage,article_titlepage,article_body,publisher_direct,0.80,1,81,success
stanford_law_review_Migration_as_Decolonization.pdf,article_body,article_body,article_body,heinonline,0.80,1,66,success
stanford-law-review_abandoning-deportation-adjudication.pdf,article_body,article_body,article_body,heinonline,0.60,1,72,success
nyu_constitutional_consequences.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,79,success
stanford-law-review_conspiracy-jurisdiction.pdf,article_titlepage,article_body,article_body,heinonline,0.80,1,78,success
cornell_scalia_legislative_history.pdf,article_body,article_body,article_body,heinonline,1.00,1,70,success
georgetown_law_journal_the_sheriffs_constitution.pdf,article_titlepage,article_body,article_titlepage,publisher_direct,0.60,1,66,success
upenn_past_is_changing.pdf,article_body,article_body,article_body,publisher_direct,1.00,1,27,success
georgetown_law_journal_the_new_sexual_deviancy.pdf,article_body,article_body,article_body,publisher_direct,0.60,1,90,success
columbia_law_review_guaranteed_the_federal_education_duty.pdf,article_body,article_body,article_body,unknown,0.00,1,42,success
georgetown_woods_sexual_deviancy.pdf,article_body,article_body,article_body,publisher_direct,0.60,1,90,success
harvard_law_review_The_Forgotten_History_Of_Prison_Law_Judicial_Oversight_Of_Detention_Facilities_In_The_Nations_Early_.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,54,success
minnesota_law_review_____Filling_the_Sackett_Gap__The_Private_Governanc.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,88,success
yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War.pdf,article_titlepage,article_body,article_body,publisher_direct,0.60,1,106,success
virginia_law_review_united_states_v_rahimi_we_do_not_resolve_any_of_those_questions_because_we_cannot.pdf,article_titlepage,article_titlepage,article_titlepage,heinonline,0.80,1,11,success
upenn_originalist_framing.pdf,article_titlepage,article_body,article_body,publisher_direct,1.00,1,29,success
cornell_tort_private_administration.pdf,article_body,article_titlepage,article_body,heinonline,1.00,2,79,success
columbia_law_review_afrofuturism_in_protest_dissent_and_revolution.pdf,article_body,article_body,article_body,unknown,0.00,1,92,success
ucla_administrative_statutory_revisionism.pdf,article_titlepage,unknown,article_body,unknown,0.00,1,21,success
duke_the_road_to_slow_deportation.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,51,success
stanford_law_review_Governing_the_Company_Town.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,93,success
stanford_law_review_Why_the_Constitution_Was_Written_Down.pdf,article_body,unknown,article_body,heinonline,0.60,1,112,success
duke_justice_on_the_home_front_domestic_prosecution_of_foreign_combatants_during_wartime.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,44,success
nyu_being_nuisance.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,86,success
nyu_law_review_Volume_99__Number_6.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,48,success
cornell_mdl_as_category.pdf,article_body,article_body,article_body,heinonline,1.00,1,47,success
stanford-law-review_notice-choice-unfairness.pdf,article_titlepage,article_body,article_body,heinonline,0.60,1,87,success
duke_fair_notice_is_a_sociopolitical_choice.pdf,article_titlepage,article_body,article_body,publisher_direct,0.80,1,96,success
cornell_equity_punishment.pdf,article_body,article_titlepage,article_titlepage,heinonline,1.00,2,72,success
michigan_law_review_spending_clause_standing.pdf,article_body,article_body,article_body,heinonline,1.00,1,39,success
stanford_law_review_Mastheads.pdf,article_body,,,unknown,0.00,1,1,success
texas_fisch_schwartz_corporate_democracy.pdf,article_body,article_body,article_body,heinonline,0.20,1,64,success
minnesota_law_review_The_Impact_ofLoper_Bright_v_Raimondo_An_Empirical_Review_of_the_First_Six_Months.pdf,article_body,article_body,article_titlepage,publisher_direct,0.60,3,78,success
