basename,category,word_count,has_pdf_download_link,confidence
boston_college_law_review_Boston_College_Law_Review,abstract_only,227,True,high
boston_college_law_review_Untitled,abstract_only,306,True,high
boston_university_law_review_Volume_105__Issue_4,abstract_only,275,True,high
bu_law_review_beyond_vawa,abstract_only,479,True,high
bu_law_review_interest_convergence_working_class,abstract_only,3791,True,high
bu_law_review_internet_grows_up,abstract_only,1294,True,high
bu_law_review_law_and_culture,full_text,10284,True,high
bu_law_review_learning_from_history,full_text,10329,True,high
bu_law_review_nil_compliance,full_text,10665,True,high
bu_law_review_online_harassment_intermediary_immunity,abstract_only,1932,True,high
bu_law_review_rediscovering_jacobson,abstract_only,714,True,high
bu_law_review_standing_privacy_harms,abstract_only,4274,True,high
bu_law_review_suing_china_covid,abstract_only,648,True,high
california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab,full_text,11864,True,high
california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System,full_text,35051,True,high
california_law_review_Articles___Essays___California_Law_Review,abstract_only,576,False,medium
california_law_review_Crafting_a_New_Conservationism,full_text,27699,True,high
california_law_review_Lovings_Borders,full_text,10279,True,high
california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test,full_text,10205,True,high
california_law_review_Scholarship_Repository,abstract_only,326,False,medium
california_law_review_Social_Justice_Conflicts_in_Public_Law,full_text,37921,True,high
california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers,full_text,32367,True,high
california_law_review_affirmative-asylum,full_text,33590,True,high
california_law_review_amazon-trademark,full_text,35051,True,high
california_law_review_incoherence-colorblind-constitution,full_text,20276,True,high
california_law_review_indeterminacy-separation,full_text,32367,True,high
california_law_review_judiciary-ada,full_text,11864,True,high
california_law_review_loving-borders,full_text,10279,True,high
california_law_review_morgan-democracy,full_text,10205,True,high
california_law_review_new-conservationism,full_text,27699,True,high
california_law_review_social-justice-conflicts,full_text,37921,True,high
california_law_review_voter-pay,full_text,22322,True,high
chicago_law_review_ai-business-judgment-rule-heightened-information-duty,abstract_only,4189,True,high
chicago_law_review_blueprint-protecting-us-companies-unfair-competition-fueled-forced-labor,abstract_only,3251,True,high
chicago_law_review_children-and-cars-watch-them,abstract_only,7423,True,medium
chicago_law_review_college-athletes-employees-implications-title-ix-and-unequal-pay,abstract_only,3266,True,high
chicago_law_review_concept-common-law,abstract_only,4269,True,high
chicago_law_review_constitutional-amendment-state-statute-case-dual-sovereignty-illinois,abstract_only,3596,True,high
chicago_law_review_constitutional-limits-regulations-foreign-influenced-corporate-contributions,abstract_only,4646,True,high
chicago_law_review_digital-authoritarianism,abstract_only,7847,True,medium
chicago_law_review_future-forced-labor-enforcing-uflpa-wake-ninestar-corp-v-united-states,abstract_only,4672,False,medium
chicago_law_review_search-strategy-sampling-and-competition-law,full_text,11257,True,high
chicago_law_review_snow-rain-and-theft-limits-us-postal-service-liability-under-federal-tort-claims-act,abstract_only,3126,True,high
chicago_law_review_specter-circuit-split-isaacson-bankshot-and-ss-1983,abstract_only,3102,True,high
chicago_law_review_tiktok-bans-takings-clause-blunder,abstract_only,3784,True,high
chicago_law_review_trump-20-removal-cases-new-shadow-docket,full_text,8864,True,high
chicago_law_review_united-states-v-harris-hard-sell-involuntary-medication-defendants,abstract_only,3726,True,high
chicago_law_review_venue-transfers-administrative-litigation-and-neglected-percolation-argument,abstract_only,3875,True,high
chicago_law_review_who-are-they-judge-scope-absolute-immunity-applied-parole-psychologists,abstract_only,3893,True,high
columbia_afrofuturism_protest,abstract_only,3808,True,high
columbia_constitutionalism_of_force,abstract_only,6546,True,medium
columbia_distinguishing_privacy_law,abstract_only,3289,True,high
columbia_forcings,abstract_only,458,True,high
columbia_law_review______Columbia_Law_Review_In_Memoriam___________Jus,abstract_only,3557,False,medium
columbia_law_review_a_right_of_peaceable_assembly,abstract_only,4749,True,high
columbia_law_review_afrofuturism_in_protest_dissent_and_revolution,abstract_only,3799,True,high
columbia_law_review_guaranteed_the_federal_education_duty,abstract_only,1024,True,high
columbia_law_review_law_of_protest,abstract_only,5327,True,medium
columbia_law_review_overbroad_protest_laws,abstract_only,3297,True,high
columbia_law_review_policing_campus_protest,abstract_only,7565,True,medium
columbia_law_review_private_prison_healthcare_as_public_accommodation_leveraging_federal_and_state_p,abstract_only,2419,True,high
columbia_law_review_the_right_to_protest_in_indian_country,abstract_only,3972,True,high
columbia_law_review_the_sankofa_principle_in_protest_law,abstract_only,1130,True,high
columbia_layered_constitutionalism,abstract_only,3139,True,high
columbia_monells_untapped_potential,abstract_only,2321,True,high
columbia_new_outlawry,abstract_only,6335,True,medium
columbia_overbroad_protest_laws,abstract_only,3330,True,high
columbia_policing_campus_protest,abstract_only,7596,True,medium
columbia_sankofa_principle_protest_law,abstract_only,1131,True,high
columbia_two_cheers_evidence,full_text,20465,True,high
cornell_against_prosecutors,abstract_only,2143,True,high
cornell_antitrust_workers,abstract_only,2303,True,high
cornell_chevron_construction,abstract_only,2321,True,high
cornell_corporate_privacy_proxy,abstract_only,2302,True,high
cornell_equity_punishment,abstract_only,2179,True,high
cornell_frand_antitrust,abstract_only,2152,True,high
cornell_law_review_Cornell_Law_Review,abstract_only,4286,False,medium
cornell_legitimate_interpretation,abstract_only,2353,True,high
cornell_mdl_as_category,abstract_only,2435,True,high
cornell_scalia_legislative_history,abstract_only,2462,True,high
cornell_tort_private_administration,abstract_only,2331,True,high
duke_burdens_of_proof_in_criminal_procedure,abstract_only,2103,True,high
duke_fair_notice_is_a_sociopolitical_choice,abstract_only,2394,True,high
duke_illegal_corporate_cultures,abstract_only,2134,True,high
duke_journal_staff,abstract_only,1854,True,high
duke_justice_on_the_home_front_domestic_prosecution_of_foreign_combatants_during_wartime,abstract_only,2056,True,high
duke_law_journal_Duke_Law_Journal,abstract_only,2029,True,high
duke_law_journal_PDF,abstract_only,2134,True,high
duke_law_journal_Vol__75_Masthead_pdf,abstract_only,2954,False,medium
duke_law_journal_burdens_of_proof,abstract_only,2103,True,high
duke_law_journal_discretionary_immigration_detention,abstract_only,2025,True,high
duke_law_journal_illegal_corporate_cultures,abstract_only,2134,True,high
duke_law_journal_slowing_the_burn,abstract_only,2029,True,high
duke_law_journal_transnational_corporate_law,abstract_only,2092,True,high
duke_reforming_h_2a_protecting_migrant_workers_before_arrival_on_us_farms,abstract_only,2156,True,high
duke_reparations_for_project_one_hundred_thousand,abstract_only,2208,True,high
duke_slowing_the_burn_incentivizing_safer_development_through_wildfire_hazard_mapping,abstract_only,2029,True,high
duke_the_road_to_slow_deportation,abstract_only,2115,True,high
florida_law_review_vol76_iss6_art1_combatting-extremism,abstract_only,1750,True,high
florida_law_review_vol76_iss6_art2_originalism-election-law,abstract_only,1701,True,high
florida_law_review_vol76_iss6_art3_power-electorate-state-constitutions,abstract_only,1942,True,high
florida_law_review_vol76_iss6_art4_maximum-convergence-voting,abstract_only,1835,True,high
florida_law_review_vol76_iss6_art5_voting-rights-materiality,abstract_only,1794,True,high
florida_law_review_vol77_iss1_art1_artificial-intelligence-privacy,abstract_only,1848,True,high
florida_law_review_vol77_iss1_art2_expressive-discrimination-universities,abstract_only,1825,True,high
florida_law_review_vol77_iss1_art3_transunion-vermont-agency-statutory-damages,abstract_only,1937,True,high
florida_law_review_vol77_iss1_art4_going-en-banc,abstract_only,1634,True,high
florida_law_review_vol77_iss1_art5_clayton-act-cipher,abstract_only,1948,True,high
florida_law_review_vol77_iss2_art1_chilling-effects-dobbs,abstract_only,1876,True,high
florida_law_review_vol77_iss2_art2_future-antitrust-populism,abstract_only,1838,True,high
florida_law_review_vol77_iss2_art3_big-cost-small-farms,abstract_only,1899,True,high
florida_law_review_vol77_iss2_art4_originalist-case-insular-cases,abstract_only,1853,True,high
florida_law_review_vol77_iss2_art5_katz-imperfect-circle,abstract_only,1941,True,high
florida_law_review_vol77_iss2_art6_tribal-courts-general-jurisdiction,abstract_only,1908,True,high
fordham_law_review_Are_Your_Secrets_Safe____Imposing_a_Fiduciary_Duty,abstract_only,353,True,high
fordham_law_review_Article_III_Standing_in_Federal_Prosecutions_of__V,abstract_only,196,True,high
fordham_law_review_Emotionally_Unstable___Addressing_Emotional_Distre,abstract_only,447,True,high
fordham_law_review_Fixing_the_Fix___The_Case_for_Unifying_the_Remedia,abstract_only,372,True,high
fordham_law_review_Is_Your_Data_Good__Bad__or_Neutral____Redefining_C,abstract_only,437,True,high
fordham_law_review_Law-Following_AI___Designing_AI_Agents_to_Obey_Hum,abstract_only,563,True,high
fordham_law_review_The_Presumption_Against_Extraterritoriality_and_Wi,abstract_only,378,True,high
fordham_law_review_The_Roberts_Court_Paradox___Fordham_Law_Review,abstract_only,509,True,high
fordham_law_review_Venturing_into_Health___Fordham_Law_Review,abstract_only,362,True,high
fordham_law_review_When_the_Screen_Lies___Navigating_Privacy_and_Publ,abstract_only,301,True,high
georgetown_capers_afrofuturism_manifesto,abstract_only,1057,True,high
georgetown_garcia_selective_enforcement,abstract_only,505,True,high
georgetown_hall_areheart_bias_presumption,abstract_only,660,True,high
georgetown_heydari_sheriffs_constitution,abstract_only,523,True,high
georgetown_kagan_asylum_procedures,abstract_only,275,True,high
georgetown_kim_taxing_metaverse,abstract_only,467,True,high
georgetown_kwoka_information_commission,abstract_only,360,True,high
georgetown_law_journal________Georgetown_Law_Journal___,abstract_only,883,False,medium
georgetown_law_journal_a_faster_way_to_yes,abstract_only,275,True,high
georgetown_law_journal_renters_tax_credits,abstract_only,478,True,high
georgetown_law_journal_selective_enforcement,abstract_only,505,True,high
georgetown_law_journal_the_new_sexual_deviancy,abstract_only,629,True,high
georgetown_law_journal_the_sheriffs_constitution,abstract_only,523,True,high
georgetown_layser_renters_tax_credits,abstract_only,478,True,high
georgetown_takhshid_data_likeness,abstract_only,420,True,high
georgetown_woods_sexual_deviancy,abstract_only,629,True,high
gwu_law_review_chenery-ii-revisited,abstract_only,486,True,high
gwu_law_review_coercive-settlements,abstract_only,492,True,high
gwu_law_review_criminal-investors,abstract_only,471,True,high
gwu_law_review_delegating-and-regulating-the-presidents-section-232-and-ieepa-trade-powers,abstract_only,470,True,high
gwu_law_review_how-chevron-deference-fits-into-article-iii,abstract_only,553,True,high
gwu_law_review_nondelegation-as-constitutional-symbolism,abstract_only,485,True,high
gwu_law_review_optimal-ossification,abstract_only,445,True,high
gwu_law_review_the-ambiguity-fallacy,abstract_only,275,True,high
gwu_law_review_the-american-nondelegation-doctrine,abstract_only,428,True,high
gwu_law_review_the-ordinary-questions-doctrine,abstract_only,683,True,high
gwu_law_review_the-power-to-vacate-a-rule,abstract_only,512,True,high
harvard-law-review_background-principles-property,abstract_only,1203,False,medium
harvard-law-review_codify-gardner,abstract_only,1099,False,medium
harvard-law-review_equal-protection-protect,abstract_only,1227,False,medium
harvard-law-review_excited-delirium-policing,abstract_only,731,False,medium
harvard-law-review_fighting-words-founding,abstract_only,1401,False,medium
harvard-law-review_forgotten-history-prison-law,abstract_only,667,False,medium
harvard-law-review_immigration-detention,abstract_only,961,False,medium
harvard-law-review_pragmatism-textualism,abstract_only,632,False,medium
harvard-law-review_unwarranted-warrants,abstract_only,821,False,medium
harvard-law-review_waste-property-useless-things,abstract_only,671,False,medium
harvard_law_review_Appendix_for_Codify_Gardner,abstract_only,770,True,high
harvard_law_review_Appendix_for_Unwarranted_Warrants__An_Empirical_An,abstract_only,3948,True,high
harvard_law_review_Background_Principles_And_The_General_Law_Of_Property,full_text,12323,True,high
harvard_law_review_Codify_Gardner,full_text,10559,True,high
harvard_law_review_CompassCare_v__Hochul,abstract_only,4509,True,high
harvard_law_review_Excited_Delirium_Policing_And_The_Law_Of_Evidence,abstract_only,4021,True,high
harvard_law_review_Fighting_Words_At_The_Founding,full_text,12343,True,high
harvard_law_review_How_To_Get_Free_In_A_Time_Of_Retrenchment,abstract_only,1273,True,high
harvard_law_review_Lara_v__Commissioner_Pennsylvania_State_Police,abstract_only,4760,True,high
harvard_law_review_Making_Equal_Protection_Protect,full_text,11485,True,high
harvard_law_review_The_Forgotten_History_Of_Prison_Law_Judicial_Oversight_Of_Detention_Facilities_In_The_Nations_Early_,abstract_only,4157,True,high
harvard_law_review_The_Law_And_Lawlessness_Of_U_S_Immigration_Detention,abstract_only,5214,True,medium
harvard_law_review_Unwarranted_Warrants_An_Empirical_Analysis_Of_Judicial_Review_In_Search_And_Seizure,abstract_only,4962,True,high
harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud,abstract_only,4940,True,high
harvard_law_review_Waste_Property_And_Useless_Things,abstract_only,5021,True,medium
harvard_law_review__Background_Principles__and_the_General_Law_of_Pro,full_text,12301,True,high
harvard_law_review_____Articles__,abstract_only,830,True,high
indiana_law_journal_can_ai_as_such_invade_your_privacy_an_experimental_study_of_the_social_element_of_surveillance,abstract_only,2467,True,high
indiana_law_journal_dark_patterns_as_disloyal_design,abstract_only,2375,True,high
indiana_law_journal_discord_and_the_pentagon_s_watchdog_countering_extremism_in_the_u_s_military,abstract_only,2439,True,high
indiana_law_journal_foreword,abstract_only,2194,True,high
indiana_law_journal_moving_slow_and_fixing_things,abstract_only,2349,True,high
indiana_law_journal_multiplicity_as_an_ai_governance_principle,abstract_only,2405,True,high
indiana_law_journal_the_mirage_of_artificial_intelligence_terms_of_use_restrictions,abstract_only,2426,True,high
indiana_law_journal_the_overstated_cost_of_ai_fairness_in_criminal_justice,abstract_only,2413,True,high
indiana_law_journal_unlocking_platform_data_for_research,abstract_only,2437,True,high
indiana_law_journal_unpacking_open_source_bio,abstract_only,2258,True,high
iowa_law_review_______________Iowa_Law_Review____________,abstract_only,291,True,high
michigan_law_review_Volume_124__Issue_1,abstract_only,143,False,medium
michigan_law_review_beyond_profit_motives,abstract_only,4059,True,high
michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law,full_text,13182,True,high
michigan_law_review_consumerist_waste_looking_beyond_repair,abstract_only,4060,True,high
michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking,full_text,12059,True,high
michigan_law_review_law_enforcement_privilege,full_text,26100,True,high
michigan_law_review_of_might_and_men,abstract_only,4079,True,high
michigan_law_review_on_the_genealogy_of_intimate_digital_harm,abstract_only,4072,True,high
michigan_law_review_orders_without_law,abstract_only,4063,True,high
michigan_law_review_original_public_meaning_and_pregnancys_ambiguities,abstract_only,4280,True,high
michigan_law_review_revocation_at_the_founding,abstract_only,4352,True,high
michigan_law_review_spending_clause_standing,full_text,16086,True,high
michigan_law_review_the_shadow_of_the_law_of_the_police,abstract_only,4067,True,high
michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources,full_text,30598,True,high
michigan_law_review_what_is_a_prison,abstract_only,4060,True,high
michigan_law_review_wrongs_to_us,abstract_only,4366,True,high
minnesota_law_review_Filling_the_Sackett_Gap_The_Private_Governance_Option,abstract_only,372,True,high
minnesota_law_review_Full_Text,full_text,22609,False,high
minnesota_law_review_The_Bogeyman_of_Environmental_Regulation_Federalism_Agency_Preemption_and_the_Roberts_Court,abstract_only,382,True,high
minnesota_law_review_The_Four_Horsemen_of_the_New_Separation_of_Powers_The_Environmental_Law_Implications_ofWest_Virginia,abstract_only,821,True,high
minnesota_law_review_The_Impact_ofLoper_Bright_v_Raimondo_An_Empirical_Review_of_the_First_Six_Months,abstract_only,505,True,high
minnesota_law_review_Water_Flowing_Down_Wall_Street,abstract_only,481,True,high
minnesota_law_review_____Filling_the_Sackett_Gap__The_Private_Governanc,abstract_only,372,True,high
minnesota_law_review_____The_Bogeyman_of_Environmental_Regulation__Fede,abstract_only,382,True,high
minnesota_law_review_____The_Four_Horsemen_of_the_New_Separation_of_Pow,abstract_only,821,True,high
minnesota_law_review_____The_Impact_of_Loper_Bright_v__Raimondo__An_Emp,abstract_only,505,True,high
minnesota_law_review_____Water_Flowing_Down_Wall_Street_____,abstract_only,481,True,high
northwestern_law_review_Issues,full_text,7497,False,medium
northwestern_law_review________________Issues___________,abstract_only,306,False,medium
northwestern_law_review__________________________NULR_Online______________,abstract_only,326,False,medium
northwestern_law_review_accommodating_incompetency_immigration,abstract_only,792,True,high
northwestern_law_review_against_monetary_primacy,abstract_only,890,True,high
northwestern_law_review_ais_dream_electric_boards,abstract_only,792,True,high
northwestern_law_review_climate_exceptionalism_court,abstract_only,806,True,high
northwestern_law_review_constraining_executive_branch,abstract_only,886,True,high
northwestern_law_review_forgotten_fundamental_right_movement,abstract_only,765,True,high
northwestern_law_review_healing_power_antitrust,abstract_only,671,True,high
northwestern_law_review_legally_magic_words,abstract_only,820,True,high
northwestern_law_review_louboutin_lawfare,abstract_only,785,True,high
northwestern_law_review_market_value_partisan_balance,abstract_only,936,True,high
northwestern_law_review_racial_discrimination_returns,abstract_only,799,True,high
northwestern_law_review_renaissance_private_law,abstract_only,928,True,high
northwestern_law_review_sec_entrepreneurial_enforcer,abstract_only,665,True,high
northwestern_law_review_statutes_special_interests,abstract_only,752,True,high
northwestern_law_review_taxations_limits,abstract_only,991,True,high
nyu_american_law_global_conflict,abstract_only,251,True,high
nyu_being_nuisance,abstract_only,291,True,high
nyu_constitutional_consequences,abstract_only,360,True,high
