Basename,Jaccard_Similarity,Quality_Category
florida_law_review_vol77_iss1_art4_going-en-banc,1.89,Poor
penn_law_review_default_procedures,1.98,Poor
texas_law_review_federalism-state-democracy,2.10,Poor
florida_law_review_vol76_iss6_art2_originalism-election-law,2.32,Poor
duke_law_journal_discretionary_immigration_detention,2.44,Poor
georgetown_law_journal_a_faster_way_to_yes,2.51,Poor
texas_law_review_mass-incarceration-history,2.86,Poor
texas_law_review_liberty-in-loyalty-fiduciary-law,2.95,Poor
penn_law_review_prosecuting_families,2.96,Poor
usc_law_review_listeners_choices_online,3.06,Poor
florida_law_review_vol77_iss1_art1_artificial-intelligence-privacy,3.26,Poor
duke_law_journal_transnational_corporate_law,3.26,Poor
penn_law_review_original_meaning_of_treaties,3.44,Poor
duke_law_journal_illegal_corporate_cultures,3.47,Poor
northwestern_law_review_healing_power_antitrust,3.48,Poor
penn_law_review_lessons_in_climate_derisking,3.52,Poor
gwu_law_review_the-power-to-vacate-a-rule,3.53,Poor
florida_law_review_vol77_iss1_art2_expressive-discrimination-universities,3.57,Poor
penn_law_review_ancillary_rights,3.62,Poor
penn_law_review_control_and_its_discontents,3.64,Poor
duke_law_journal_burdens_of_proof,3.67,Poor
duke_law_journal_slowing_the_burn,3.69,Poor
gwu_law_review_the-ambiguity-fallacy,3.69,Poor
gwu_law_review_criminal-investors,3.71,Poor
northwestern_law_review_forgotten_fundamental_right_movement,3.73,Poor
indiana_law_journal_discord_and_the_pentagon_s_watchdog_countering_extremism_in_the_u_s_military,3.82,Poor
northwestern_law_review_sec_entrepreneurial_enforcer,3.87,Poor
georgetown_law_journal_the_sheriffs_constitution,3.87,Poor
georgetown_law_journal_selective_enforcement,3.89,Poor
penn_law_review_unwritten_administrative_law,3.92,Poor
penn_law_review_spirit,4.00,Poor
indiana_law_journal_unpacking_open_source_bio,4.00,Poor
indiana_law_journal_moving_slow_and_fixing_things,4.06,Poor
northwestern_law_review_ais_dream_electric_boards,4.09,Poor
gwu_law_review_nondelegation-as-constitutional-symbolism,4.10,Poor
gwu_law_review_coercive-settlements,4.19,Poor
northwestern_law_review_constraining_executive_branch,4.22,Poor
florida_law_review_vol77_iss2_art3_big-cost-small-farms,4.26,Poor
penn_law_review_realism_about_criminal_justice_localism,4.32,Poor
northwestern_law_review_climate_exceptionalism_court,4.32,Poor
gwu_law_review_chenery-ii-revisited,4.36,Poor
georgetown_law_journal_the_new_sexual_deviancy,4.39,Poor
indiana_law_journal_can_ai_as_such_invade_your_privacy_an_experimental_study_of_the_social_element_of_surveillance,4.39,Poor
florida_law_review_vol77_iss2_art6_tribal-courts-general-jurisdiction,4.42,Poor
stanford_law_review_highsmith_company_town,4.43,Poor
florida_law_review_vol76_iss6_art4_maximum-convergence-voting,4.55,Poor
stanford_law_review_weightman_banking_franchise,4.55,Poor
florida_law_review_vol77_iss2_art5_katz-imperfect-circle,4.57,Poor
florida_law_review_vol76_iss6_art5_voting-rights-materiality,4.67,Poor
stanford_law_review_khan_notice_choice_unfairness,4.69,Poor
florida_law_review_vol76_iss6_art1_combatting-extremism,4.73,Poor
penn_law_review_debt_tokens,4.75,Poor
florida_law_review_vol77_iss2_art1_chilling-effects-dobbs,4.84,Poor
penn_law_review_super_dicta,4.86,Poor
indiana_law_journal_dark_patterns_as_disloyal_design,4.92,Poor
florida_law_review_vol77_iss2_art4_originalist-case-insular-cases,4.95,Poor
stanford_law_review_yorke_missing_canons,5.00,Poor
northwestern_law_review_accommodating_incompetency_immigration,5.01,Poor
northwestern_law_review_louboutin_lawfare,5.01,Poor
florida_law_review_vol77_iss1_art5_clayton-act-cipher,5.04,Poor
stanford_law_review_kelley_fair_housing,5.05,Poor
florida_law_review_vol77_iss2_art2_future-antitrust-populism,5.07,Poor
georgetown_law_journal_renters_tax_credits,5.08,Poor
stanford_law_review_yankah_deputization,5.11,Poor
gwu_law_review_how-chevron-deference-fits-into-article-iii,5.24,Poor
penn_law_review_policing_as_general_warrants,5.30,Poor
stanford_law_review_wu_clean_water_enforcement,5.38,Poor
florida_law_review_vol76_iss6_art3_power-electorate-state-constitutions,5.41,Poor
indiana_law_journal_the_mirage_of_artificial_intelligence_terms_of_use_restrictions,5.45,Poor
northwestern_law_review_against_monetary_primacy,5.57,Poor
gwu_law_review_the-ordinary-questions-doctrine,5.57,Poor
northwestern_law_review_racial_discrimination_returns,5.57,Poor
gwu_law_review_optimal-ossification,5.58,Poor
northwestern_law_review_renaissance_private_law,5.60,Poor
northwestern_law_review_legally_magic_words,5.64,Poor
northwestern_law_review_taxations_limits,5.65,Poor
stanford_law_review_badii_antitrust_merger,5.72,Poor
indiana_law_journal_multiplicity_as_an_ai_governance_principle,5.81,Poor
gwu_law_review_the-american-nondelegation-doctrine,5.84,Poor
stanford_law_review_schuman_prosecutors_robes,5.85,Poor
florida_law_review_vol77_iss1_art3_transunion-vermont-agency-statutory-damages,5.88,Poor
northwestern_law_review_statutes_special_interests,5.89,Poor
stanford_law_review_bednar_presidential_control,6.00,Poor
bu_law_review_beyond_vawa,6.02,Poor
stanford_law_review_crews_vermont_yankee,6.10,Poor
northwestern_law_review_market_value_partisan_balance,6.22,Poor
indiana_law_journal_unlocking_platform_data_for_research,6.22,Poor
stanford_law_review_rauterberg_shadow_banking,6.26,Poor
indiana_law_journal_the_overstated_cost_of_ai_fairness_in_criminal_justice,6.47,Poor
gwu_law_review_delegating-and-regulating-the-presidents-section-232-and-ieepa-trade-powers,6.49,Poor
stanford_law_review_snyder_constitutional_rights,6.82,Poor
stanford_law_review_padmanabhan_deportation,6.82,Poor
usc_law_review_the_first_amendment_of_fear,7.72,Poor
harvard_law_review_How_To_Get_Free_In_A_Time_Of_Retrenchment,9.08,Poor
columbia_law_review_guaranteed_the_federal_education_duty,10.47,Poor
bu_law_review_suing_china_covid,10.55,Poor
texas_law_review_damage-averaging-high-value-claims,11.57,Poor
virginia_law_review_antitrusts-interdependence-paradox,14.00,Poor
virginia_law_review_neo-brandeis-goes-to-washington-a-provisional-assessment-of-the-biden-administrations-antitrust-record,14.69,Poor
ucla_law_review_broken_systems_function_by_design,14.77,Poor
ucla_law_review_connecting_race_and_empire_what_critical_race_theory_offers_outside_the_us_legal_context,15.42,Poor
bu_law_review_rediscovering_jacobson,15.69,Poor
usc_law_review_listening_on_campus_academic_freedom_and_its_audiences,16.24,Poor
ucla_law_review_bound_by_law_freed_by_solidarity_navigating_california_prisons_and_universities_as_a_jailhouse_lawye,16.28,Poor
ucla_law_review_critical_race_theory_inside_and_beyond_the_ivory_tower,16.48,Poor
columbia_law_review_afrofuturism_in_protest_dissent_and_revolution,16.73,Poor
virginia_law_review_fourth-amendment-trespass-and-internet-search-history,17.73,Poor
columbia_law_review_overbroad_protest_laws,17.78,Poor
virginia_law_review_abortions-new-criminalization-a-history-and-tradition-right-to-health-care-access-after-dobbs,17.92,Poor
columbia_law_review_private_prison_healthcare_as_public_accommodation_leveraging_federal_and_state_p,18.62,Poor
columbia_law_review_a_right_of_peaceable_assembly,18.82,Poor
ucla_law_review_insurgent_knowledge_battling_cdcr_from_inside_the_system_the_story_of_the_essential_collaboration_be,19.93,Poor
wisconsin_law_review_wisconsin_law_review_online_2015_symposium,20.48,Poor
yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War,20.78,Poor
virginia_law_review_the-association-game-applying-noscitur-a-sociis-and-ejusdem-generis,20.92,Poor
virginia_law_review_political-mootness,21.17,Poor
harvard_law_review_The_Law_And_Lawlessness_Of_U_S_Immigration_Detention,21.58,Poor
virginia_law_review_the-radical-fair-housing-act,22.76,Poor
harvard_law_review_Excited_Delirium_Policing_And_The_Law_Of_Evidence,23.39,Poor
virginia_law_review_solitary-confinement-human-dignity-and-the-eighth-amendment,23.78,Poor
yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism,23.82,Poor
yale_law_journal_The_Prison_Discovery_Crisis,24.05,Poor
harvard_law_review_The_Forgotten_History_Of_Prison_Law_Judicial_Oversight_Of_Detention_Facilities_In_The_Nations_Early_,24.95,Poor
harvard_law_review_Waste_Property_And_Useless_Things,25.33,Poor
columbia_law_review_policing_campus_protest,25.52,Poor
harvard_law_review_Unwarranted_Warrants_An_Empirical_Analysis_Of_Judicial_Review_In_Search_And_Seizure,26.07,Poor
columbia_law_review_the_right_to_protest_in_indian_country,26.66,Poor
virginia_law_review_the-right-thing-in-the-wrong-place-unstable-dicta-and-aesthetics-gradual-incursion-into-the-traditional-police-power-justifications,26.82,Poor
indiana_law_journal_foreword,27.42,Poor
virginia_law_review_deterring-unenforceable-terms,27.75,Poor
virginia_law_review_free-speech-as-white-privilege-racialization-suppression-and-the-palestine-exception,27.94,Poor
michigan_law_review_spending_clause_standing,28.52,Poor
michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources,28.70,Poor
michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking,28.98,Poor
virginia_law_review_free-speech-breathing-space-and-liability-insurance,29.24,Poor
virginia_law_review_an-alternative-to-constraining-judges-with-constitutional-theories-the-internal-goods-approach,29.86,Poor
michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law,30.25,Poor
michigan_law_review_law_enforcement_privilege,30.70,Poor
virginia_law_review_the-unenumerated-power,37.36,Poor
chicago_law_review_concept-common-law,65.18,Good
chicago_law_review_snow-rain-and-theft-limits-us-postal-service-liability-under-federal-tort-claims-act,74.92,Good
chicago_law_review_ai-business-judgment-rule-heightened-information-duty,76.99,Good
chicago_law_review_constitutional-amendment-state-statute-case-dual-sovereignty-illinois,77.73,Good
chicago_law_review_college-athletes-employees-implications-title-ix-and-unequal-pay,78.10,Good
chicago_law_review_united-states-v-harris-hard-sell-involuntary-medication-defendants,78.64,Good
chicago_law_review_tiktok-bans-takings-clause-blunder,79.20,Good
wisconsin_law_review_debunking_the_stifling_innovation_myth_the_music_businesss_successful_transition_to_digital,79.28,Good
chicago_law_review_blueprint-protecting-us-companies-unfair-competition-fueled-forced-labor,80.13,Excellent
harvard_law_review_Background_Principles_And_The_General_Law_Of_Property,81.29,Excellent
chicago_law_review_who-are-they-judge-scope-absolute-immunity-applied-parole-psychologists,81.34,Excellent
texas_law_review_repealing-environmental-laws-magna-carta,81.67,Excellent
wisconsin_law_review_copyright_and_innovation_déjà_vu_all_over_again,82.00,Excellent
bu_law_review_internet_grows_up,82.18,Excellent
chicago_law_review_search-strategy-sampling-and-competition-law,82.49,Excellent
wisconsin_law_review_limelight_v_akamai_limiting_induced_infringement,82.69,Excellent
wisconsin_law_review_heterogeneity_legislative_history_and_the_costs_of_litigation_a_brief_comment_on_bruhls_hierarchy_an,82.69,Excellent
chicago_law_review_trump-20-removal-cases-new-shadow-docket,83.70,Excellent
wisconsin_law_review_response_to_sanders_maiingan_as_property,83.79,Excellent
wisconsin_law_review_judging_indian_character_the_supreme_courts_opportunity_in_nebraska_v_parker,83.96,Excellent
usc_law_review_fintech_and_techno_solutionism,83.99,Excellent
chicago_law_review_specter-circuit-split-isaacson-bankshot-and-ss-1983,84.05,Excellent
usc_law_review_criminalization_an_exceptionally_american_response_to_homele,84.06,Excellent
chicago_law_review_venue-transfers-administrative-litigation-and-neglected-percolation-argument,84.34,Excellent
bu_law_review_nil_compliance,84.35,Excellent
usc_law_review_mind_the_gap_s_mitigating_harassment_in_a_post_metoo_workpla,84.89,Excellent
wisconsin_law_review_reforming_software_claiming,86.19,Excellent
usc_law_review_familial_dna_and_due_process_for_innocents,86.50,Excellent
wisconsin_law_review_when_you_let_incumbents_veto_innovation_you_get_less_innovation,86.97,Excellent
wisconsin_law_review_disparaging_the_supreme_court_is_scotus_in_serious_trouble,87.06,Excellent
wisconsin_law_review_from_a_scream_to_a_whisper_the_supreme_court_does_little_to_fix_its_bankruptcy_court_mess_executive_,87.13,Excellent
usc_law_review_the_default_rule_and_due_process_diverging_interpretations_o,87.44,Excellent
wisconsin_law_review_requiring_exhaustion_for_cumulative_error_review_of_harmlessness_does_not_add_up,87.44,Excellent
bu_law_review_learning_from_history,88.39,Excellent
wisconsin_law_review_copyright_and_innovation_responses_to_marks_masnick_and_picker,88.82,Excellent
usc_law_review_respecting_listeners_autonomy_the_right_to_be_left_alone,88.87,Excellent
chicago_law_review_children-and-cars-watch-them,88.94,Excellent
bu_law_review_interest_convergence_working_class,89.01,Excellent
usc_law_review_islands_of_algorithmic_integrity_imagining_a_democratic_digi,89.58,Excellent
usc_law_review_fair_use_and_fair_price,89.64,Excellent
texas_law_review_technologies-of-violence,89.96,Excellent
wisconsin_law_review_marriage_equality_comes_to_wisconsin,90.06,Excellent
wisconsin_law_review_forbidden_films_and_the_first_amendment,90.29,Excellent
usc_law_review_in_the_name_of_accountability,91.00,Excellent
california_law_review_new-conservationism,91.15,Excellent
chicago_law_review_digital-authoritarianism,91.35,Excellent
texas_law_review_video-analytics-fourth-amendment,91.88,Excellent
wisconsin_law_review_assessing_experiential_learning_jobs_and_all_a_response_to_the_three_professors,91.88,Excellent
california_law_review_morgan-democracy,92.34,Excellent
california_law_review_loving-borders,92.45,Excellent
california_law_review_affirmative-asylum,93.21,Excellent
texas_law_review_working-with-statutes,93.43,Excellent
california_law_review_judiciary-ada,93.95,Excellent
california_law_review_amazon-trademark,94.63,Excellent
california_law_review_voter-pay,94.81,Excellent
california_law_review_indeterminacy-separation,94.96,Excellent
california_law_review_social-justice-conflicts,95.47,Excellent
bu_law_review_standing_privacy_harms,95.84,Excellent
california_law_review_incoherence-colorblind-constitution,96.26,Excellent
texas_law_review_battered-woman-syndrome,96.63,Excellent
texas_law_review_extraterritoriality-patent-infringement,96.64,Excellent
texas_law_review_contract-remedies-new-economy,97.73,Excellent
texas_law_review_cryptocurrency-credit-risk,98.34,Excellent
bu_law_review_law_and_culture,98.44,Excellent
texas_law_review_discovery-dark-matter,98.73,Excellent
texas_law_review_systemically-important-technology,98.87,Excellent
texas_law_review_state-regulation-online-behavior,99.00,Excellent
